,Geographic Cluster Name,STEM,Free,Meeting Type,Total Programs,Total Capacity,Average Max Age,Average Latitude,Average Capacity,population,income,latinos,blacks,white,asian,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score
103,CLEARING,Non-STEM,Not Free,online,14,242.0,29.785714285714285,41.78257097857142,17.285714285714285,23139.0,54123.0,0.453,0.012,0.515,0.009,2.2,9.0,10.6,12.2,35.9,27582.0,39.4
104,CLEARING,STEM,Free,face_to_face,12,214.0,26.25,41.78196938999999,17.833333333333332,23139.0,54123.0,0.453,0.012,0.515,0.009,2.2,9.0,10.6,12.2,35.9,27582.0,39.4
105,CLEARING,STEM,Not Free,face_to_face,14,47.0,73.5,41.7829137542857,3.357142857142857,23139.0,54123.0,0.453,0.012,0.515,0.009,2.2,9.0,10.6,12.2,35.9,27582.0,39.4
106,DUNNING,Non-STEM,Free,face_to_face,260,214481.0,47.526923076923076,41.942118850500016,824.9269230769231,41932.0,61584.0,0.238,0.007,0.704,0.038,2.3,8.7,4.4,10.8,36.3,33823.0,34.5
107,DUNNING,Non-STEM,Free,online,2,1831.0,99.0,,915.5,41932.0,61584.0,0.238,0.007,0.704,0.038,2.3,8.7,4.4,10.8,36.3,33823.0,34.5
108,DUNNING,Non-STEM,Not Free,face_to_face,725,12260.0,27.26896551724138,41.94700965204168,16.910344827586208,41932.0,61584.0,0.238,0.007,0.704,0.038,2.3,8.7,4.4,10.8,36.3,33823.0,34.5
109,DUNNING,Non-STEM,Not Free,online,41,694.0,65.0,41.9462611529268,16.926829268292682,41932.0,61584.0,0.238,0.007,0.704,0.038,2.3,8.7,4.4,10.8,36.3,33823.0,34.5
110,DUNNING,STEM,Free,face_to_face,7,362.0,41.285714285714285,41.943654741428574,51.714285714285715,41932.0,61584.0,0.238,0.007,0.704,0.038,2.3,8.7,4.4,10.8,36.3,33823.0,34.5
111,DUNNING,STEM,Not Free,face_to_face,80,390.0,46.9375,41.94848852312498,4.875,41932.0,61584.0,0.238,0.007,0.704,0.038,2.3,8.7,4.4,10.8,36.3,33823.0,34.5
112,EAST SIDE,Non-STEM,Free,face_to_face,241,65955.0,35.72199170124481,41.700438726597554,273.6721991701245,23042.0,41196.0,0.784,0.034,0.172,0.002,3.6,13.7,8.1,27.6,41.6,21929.0,52.5
113,EAST SIDE,Non-STEM,Not Free,face_to_face,495,5854.0,25.88282828282828,41.71052057303029,11.826262626262626,23042.0,41196.0,0.784,0.034,0.172,0.002,3.6,13.7,8.1,27.6,41.6,21929.0,52.5
114,EAST SIDE,Non-STEM,Not Free,online,9,97.0,49.333333333333336,41.695910133333335,10.777777777777779,23042.0,41196.0,0.784,0.034,0.172,0.002,3.6,13.7,8.1,27.6,41.6,21929.0,52.5
115,EAST SIDE,STEM,Free,face_to_face,12,515.0,55.416666666666664,41.70273780916667,42.916666666666664,23042.0,41196.0,0.784,0.034,0.172,0.002,3.6,13.7,8.1,27.6,41.6,21929.0,52.5
116,EAST SIDE,STEM,Not Free,face_to_face,24,203.0,71.54166666666667,41.713692665,8.458333333333334,23042.0,41196.0,0.784,0.034,0.172,0.002,3.6,13.7,8.1,27.6,41.6,21929.0,52.5
117,EDGEWATER,Non-STEM,Free,face_to_face,421,6817641.0,56.04038004750594,41.98877456814728,16193.9216152019,56521.0,43331.0,0.165,0.143,0.547,0.116,4.2,15.1,5.5,9.2,26.1,42486.0,32.6
118,EDGEWATER,Non-STEM,Free,online,10,3771.0,50.4,41.9944014575,377.1,56521.0,43331.0,0.165,0.143,0.547,0.116,4.2,15.1,5.5,9.2,26.1,42486.0,32.6
119,EDGEWATER,Non-STEM,Not Free,face_to_face,515,7206.0,31.57281553398058,41.9907564099806,13.992233009708738,56521.0,43331.0,0.165,0.143,0.547,0.116,4.2,15.1,5.5,9.2,26.1,42486.0,32.6
120,EDGEWATER,Non-STEM,Not Free,online,119,1948.0,67.91596638655462,41.99259734134446,16.369747899159663,56521.0,43331.0,0.165,0.143,0.547,0.116,4.2,15.1,5.5,9.2,26.1,42486.0,32.6
121,EDGEWATER,STEM,Free,face_to_face,8,2424.0,45.875,41.99079799625,303.0,56521.0,43331.0,0.165,0.143,0.547,0.116,4.2,15.1,5.5,9.2,26.1,42486.0,32.6
122,EDGEWATER,STEM,Free,online,3,50.0,99.0,41.99486542,16.666666666666668,56521.0,43331.0,0.165,0.143,0.547,0.116,4.2,15.1,5.5,9.2,26.1,42486.0,32.6
123,EDGEWATER,STEM,Not Free,face_to_face,28,161.0,67.10714285714286,41.99286188357144,5.75,56521.0,43331.0,0.165,0.143,0.547,0.116,4.2,15.1,5.5,9.2,26.1,42486.0,32.6
124,EDGEWATER,STEM,Not Free,online,5,90.0,24.6,41.99486542,18.0,56521.0,43331.0,0.165,0.143,0.547,0.116,4.2,15.1,5.5,9.2,26.1,42486.0,32.6
125,EDISON PARK,Non-STEM,Free,face_to_face,58,4536.0,48.37931034482759,42.0018876163793,78.20689655172414,11187.0,77678.0,0.078,0.003,0.884,0.024,0.1,5.1,1.8,4.3,36.5,61124.0,20.7
126,EDISON PARK,Non-STEM,Free,online,2,45.0,52.5,42.00170326,22.5,11187.0,77678.0,0.078,0.003,0.884,0.024,0.1,5.1,1.8,4.3,36.5,61124.0,20.7
127,EDISON PARK,Non-STEM,Not Free,face_to_face,694,9785.0,21.2521613832853,42.00385975397732,14.09942363112392,11187.0,77678.0,0.078,0.003,0.884,0.024,0.1,5.1,1.8,4.3,36.5,61124.0,20.7
128,EDISON PARK,Non-STEM,Not Free,online,54,854.0,21.203703703703702,42.00083506370367,15.814814814814815,11187.0,77678.0,0.078,0.003,0.884,0.024,0.1,5.1,1.8,4.3,36.5,61124.0,20.7
129,EDISON PARK,STEM,Not Free,face_to_face,18,141.0,38.111111111111114,42.00337049777778,7.833333333333333,11187.0,77678.0,0.078,0.003,0.884,0.024,0.1,5.1,1.8,4.3,36.5,61124.0,20.7
130,EDISON PARK,STEM,Not Free,online,3,57.0,6.333333333333333,42.00404739,19.0,11187.0,77678.0,0.078,0.003,0.884,0.024,0.1,5.1,1.8,4.3,36.5,61124.0,20.7
131,ENGLEWOOD,Non-STEM,Free,face_to_face,221,18601.0,38.8235294117647,41.778609796545474,84.16742081447964,30654.0,19743.0,0.011,0.974,0.003,0.001,1.4,39.7,24.9,23.7,42.7,15034.0,68.2
132,ENGLEWOOD,Non-STEM,Not Free,face_to_face,150,1869.0,39.32,41.77761756793338,12.46,30654.0,19743.0,0.011,0.974,0.003,0.001,1.4,39.7,24.9,23.7,42.7,15034.0,68.2
133,ENGLEWOOD,Non-STEM,Not Free,online,12,140.0,25.416666666666668,41.77306429750001,11.666666666666666,30654.0,19743.0,0.011,0.974,0.003,0.001,1.4,39.7,24.9,23.7,42.7,15034.0,68.2
134,ENGLEWOOD,STEM,Free,face_to_face,14,302.0,28.357142857142858,41.778648647857146,21.571428571428573,30654.0,19743.0,0.011,0.974,0.003,0.001,1.4,39.7,24.9,23.7,42.7,15034.0,68.2
135,ENGLEWOOD,STEM,Not Free,face_to_face,6,0.0,99.0,41.776699065,0.0,30654.0,19743.0,0.011,0.974,0.003,0.001,1.4,39.7,24.9,23.7,42.7,15034.0,68.2
136,FOREST GLEN,Non-STEM,Free,face_to_face,186,19605.0,33.53225806451613,41.99203327010756,105.40322580645162,18508.0,87394.0,0.115,0.007,0.746,0.107,1.1,5.6,4.9,5.4,42.5,59039.0,28.1
137,FOREST GLEN,Non-STEM,Free,online,2,1831.0,99.0,,915.5,18508.0,87394.0,0.115,0.007,0.746,0.107,1.1,5.6,4.9,5.4,42.5,59039.0,28.1
138,FOREST GLEN,Non-STEM,Not Free,face_to_face,368,5456.0,25.472826086956523,41.99257015016299,14.826086956521738,18508.0,87394.0,0.115,0.007,0.746,0.107,1.1,5.6,4.9,5.4,42.5,59039.0,28.1
139,FOREST GLEN,STEM,Free,face_to_face,3,36.0,99.0,41.956834156666666,12.0,18508.0,87394.0,0.115,0.007,0.746,0.107,1.1,5.6,4.9,5.4,42.5,59039.0,28.1
140,FOREST GLEN,STEM,Not Free,face_to_face,7,54.0,36.714285714285715,41.987996235714284,7.714285714285714,18508.0,87394.0,0.115,0.007,0.746,0.107,1.1,5.6,4.9,5.4,42.5,59039.0,28.1
141,FULLER PARK,Non-STEM,Free,face_to_face,89,2129.0,25.876404494382022,41.81202235191003,23.921348314606742,2876.0,15086.0,0.046,0.922,0.016,0.002,1.3,51.9,25.1,23.8,47.2,13982.0,75.1
142,FULLER PARK,Non-STEM,Not Free,face_to_face,75,788.0,52.25333333333333,41.812098900533265,10.506666666666666,2876.0,15086.0,0.046,0.922,0.016,0.002,1.3,51.9,25.1,23.8,47.2,13982.0,75.1
143,FULLER PARK,Non-STEM,Not Free,online,4,45.0,36.25,41.8120575,11.25,2876.0,15086.0,0.046,0.922,0.016,0.002,1.3,51.9,25.1,23.8,47.2,13982.0,75.1
144,FULLER PARK,STEM,Not Free,face_to_face,9,0.0,99.0,41.812099460000006,0.0,2876.0,15086.0,0.046,0.922,0.016,0.002,1.3,51.9,25.1,23.8,47.2,13982.0,75.1
145,GAGE PARK,Non-STEM,Free,face_to_face,413,2121948.0,43.77481840193705,41.79787385815981,5137.888619854722,39894.0,38855.0,0.892,0.054,0.047,0.003,8.0,16.7,16.2,32.6,38.6,16155.0,66.4
146,GAGE PARK,Non-STEM,Free,online,7,134.0,99.0,41.793525700000004,19.142857142857142,39894.0,38855.0,0.892,0.054,0.047,0.003,8.0,16.7,16.2,32.6,38.6,16155.0,66.4
147,GAGE PARK,Non-STEM,Not Free,face_to_face,79,1023.0,58.835443037974684,41.79256844607597,12.949367088607595,39894.0,38855.0,0.892,0.054,0.047,0.003,8.0,16.7,16.2,32.6,38.6,16155.0,66.4
148,GAGE PARK,Non-STEM,Not Free,online,41,644.0,26.585365853658537,41.7913954197561,15.707317073170731,39894.0,38855.0,0.892,0.054,0.047,0.003,8.0,16.7,16.2,32.6,38.6,16155.0,66.4
149,GAGE PARK,STEM,Free,face_to_face,21,504.0,35.476190476190474,41.79332660380952,24.0,39894.0,38855.0,0.892,0.054,0.047,0.003,8.0,16.7,16.2,32.6,38.6,16155.0,66.4
150,GAGE PARK,STEM,Free,online,2,4157.0,58.5,,2078.5,39894.0,38855.0,0.892,0.054,0.047,0.003,8.0,16.7,16.2,32.6,38.6,16155.0,66.4
151,GAGE PARK,STEM,Not Free,face_to_face,3,0.0,99.0,41.79349899,0.0,39894.0,38855.0,0.892,0.054,0.047,0.003,8.0,16.7,16.2,32.6,38.6,16155.0,66.4
152,GARFIELD PARK,Non-STEM,Free,face_to_face,1876,239274.0,39.747867803837956,41.88088323711592,127.54477611940298,38568.0,23760.5,0.03,0.9355,0.0205,0.002,4.949999999999999,38.8,21.55,23.05,38.4,15449.5,68.69999999999999
153,GARFIELD PARK,Non-STEM,Free,online,30,376742.0,55.06666666666667,41.876792910000006,12558.066666666668,38568.0,23760.5,0.03,0.9355,0.0205,0.002,4.949999999999999,38.8,21.55,23.05,38.4,15449.5,68.69999999999999
154,GARFIELD PARK,Non-STEM,Not Free,face_to_face,656,6748.0,44.92987804878049,41.88002276792696,10.286585365853659,38568.0,23760.5,0.03,0.9355,0.0205,0.002,4.949999999999999,38.8,21.55,23.05,38.4,15449.5,68.69999999999999
155,GARFIELD PARK,Non-STEM,Not Free,online,40,532.0,61.8,41.87603530999998,13.3,38568.0,23760.5,0.03,0.9355,0.0205,0.002,4.949999999999999,38.8,21.55,23.05,38.4,15449.5,68.69999999999999
156,GARFIELD PARK,STEM,Free,face_to_face,414,35198.0,57.84057971014493,41.87853671864759,85.01932367149759,38568.0,23760.5,0.03,0.9355,0.0205,0.002,4.949999999999999,38.8,21.55,23.05,38.4,15449.5,68.69999999999999
157,GARFIELD PARK,STEM,Free,online,2,36.0,99.0,,18.0,38568.0,23760.5,0.03,0.9355,0.0205,0.002,4.949999999999999,38.8,21.55,23.05,38.4,15449.5,68.69999999999999
158,GARFIELD PARK,STEM,Not Free,face_to_face,62,180.0,93.7741935483871,41.88081101258064,2.903225806451613,38568.0,23760.5,0.03,0.9355,0.0205,0.002,4.949999999999999,38.8,21.55,23.05,38.4,15449.5,68.69999999999999
159,GARFIELD PARK,STEM,Not Free,online,4,0.0,8.5,41.88663101,0.0,38568.0,23760.5,0.03,0.9355,0.0205,0.002,4.949999999999999,38.8,21.55,23.05,38.4,15449.5,68.69999999999999
160,GARFIELD RIDGE,Non-STEM,Free,face_to_face,563,286798.0,35.03197158081705,41.795201440532445,509.4103019538188,34513.0,61206.0,0.392,0.059,0.532,0.01,3.2,8.4,7.7,17.3,38.8,32788.0,41.9
161,GARFIELD RIDGE,Non-STEM,Free,online,5,18219.0,61.0,41.80244064,3643.8,34513.0,61206.0,0.392,0.059,0.532,0.01,3.2,8.4,7.7,17.3,38.8,32788.0,41.9
162,GARFIELD RIDGE,Non-STEM,Not Free,face_to_face,547,8993.0,37.250457038391225,41.796922935585854,16.44058500914077,34513.0,61206.0,0.392,0.059,0.532,0.01,3.2,8.4,7.7,17.3,38.8,32788.0,41.9
163,GARFIELD RIDGE,Non-STEM,Not Free,online,38,835.0,61.23684210526316,41.798655659999994,21.973684210526315,34513.0,61206.0,0.392,0.059,0.532,0.01,3.2,8.4,7.7,17.3,38.8,32788.0,41.9
164,GARFIELD RIDGE,STEM,Free,face_to_face,11,478.0,54.0,41.79178758272726,43.45454545454545,34513.0,61206.0,0.392,0.059,0.532,0.01,3.2,8.4,7.7,17.3,38.8,32788.0,41.9
165,GARFIELD RIDGE,STEM,Not Free,face_to_face,26,12.0,95.53846153846153,41.80094953846152,0.46153846153846156,34513.0,61206.0,0.392,0.059,0.532,0.01,3.2,8.4,7.7,17.3,38.8,32788.0,41.9
166,GARFIELD RIDGE,STEM,Not Free,online,3,40.0,9.0,41.79045487,13.333333333333334,34513.0,61206.0,0.392,0.059,0.532,0.01,3.2,8.4,7.7,17.3,38.8,32788.0,41.9
167,GREATER GRAND CROSSING,Non-STEM,Free,face_to_face,218,14445.0,27.623853211009173,41.76121890302752,66.26146788990826,32602.0,29663.0,0.012,0.969,0.006,0.001,1.8,33.1,19.8,13.5,40.4,19735.0,57.1
168,GREATER GRAND CROSSING,Non-STEM,Free,online,1,0.0,99.0,,0.0,32602.0,29663.0,0.012,0.969,0.006,0.001,1.8,33.1,19.8,13.5,40.4,19735.0,57.1
169,GREATER GRAND CROSSING,Non-STEM,Not Free,face_to_face,54,697.0,67.22222222222223,41.75680851547167,12.907407407407407,32602.0,29663.0,0.012,0.969,0.006,0.001,1.8,33.1,19.8,13.5,40.4,19735.0,57.1
170,GREATER GRAND CROSSING,Non-STEM,Not Free,online,26,375.0,88.26923076923077,41.757157844615406,14.423076923076923,32602.0,29663.0,0.012,0.969,0.006,0.001,1.8,33.1,19.8,13.5,40.4,19735.0,57.1
171,GREATER GRAND CROSSING,STEM,Free,face_to_face,4,29.0,19.5,41.7597761125,7.25,32602.0,29663.0,0.012,0.969,0.006,0.001,1.8,33.1,19.8,13.5,40.4,19735.0,57.1
172,GREATER GRAND CROSSING,STEM,Not Free,face_to_face,9,0.0,99.0,41.755798340000005,0.0,32602.0,29663.0,0.012,0.969,0.006,0.001,1.8,33.1,19.8,13.5,40.4,19735.0,57.1
173,HEGEWISCH,Non-STEM,Free,face_to_face,119,3554.0,51.773109243697476,41.659852868151226,29.865546218487395,9426.0,49924.0,0.496,0.039,0.449,0.005,2.5,15.5,9.9,18.1,38.0,27754.0,45.4
174,HEGEWISCH,Non-STEM,Not Free,face_to_face,274,4655.0,42.543795620437955,41.65731048375909,16.98905109489051,9426.0,49924.0,0.496,0.039,0.449,0.005,2.5,15.5,9.9,18.1,38.0,27754.0,45.4
175,HEGEWISCH,Non-STEM,Not Free,online,29,435.0,82.03448275862068,41.65729140999998,15.0,9426.0,49924.0,0.496,0.039,0.449,0.005,2.5,15.5,9.9,18.1,38.0,27754.0,45.4
176,HEGEWISCH,STEM,Free,face_to_face,1,139.0,18.0,41.65940094,139.0,9426.0,49924.0,0.496,0.039,0.449,0.005,2.5,15.5,9.9,18.1,38.0,27754.0,45.4
177,HEGEWISCH,STEM,Not Free,face_to_face,26,237.0,72.57692307692308,41.65732456846153,9.115384615384615,9426.0,49924.0,0.496,0.039,0.449,0.005,2.5,15.5,9.9,18.1,38.0,27754.0,45.4
178,HERMOSA,Non-STEM,Free,face_to_face,104,2456.0,31.298076923076923,41.92649757163456,23.615384615384617,25010.0,42418.0,0.874,0.03,0.076,0.012,6.6,14.8,5.9,30.2,34.2,24226.0,53.0
179,HERMOSA,Non-STEM,Not Free,face_to_face,166,1842.0,39.56024096385542,41.92810042753003,11.096385542168674,25010.0,42418.0,0.874,0.03,0.076,0.012,6.6,14.8,5.9,30.2,34.2,24226.0,53.0
180,HERMOSA,Non-STEM,Not Free,online,11,210.0,7.454545454545454,41.92909241,19.09090909090909,25010.0,42418.0,0.874,0.03,0.076,0.012,6.6,14.8,5.9,30.2,34.2,24226.0,53.0
181,HERMOSA,STEM,Free,face_to_face,11,20.0,54.90909090909091,41.93011197363637,1.8181818181818181,25010.0,42418.0,0.874,0.03,0.076,0.012,6.6,14.8,5.9,30.2,34.2,24226.0,53.0
182,HERMOSA,STEM,Not Free,face_to_face,15,0.0,99.0,41.926300052,0.0,25010.0,42418.0,0.874,0.03,0.076,0.012,6.6,14.8,5.9,30.2,34.2,24226.0,53.0
183,HUMBOLDT PARK,Non-STEM,Free,face_to_face,539,123122428.0,41.36178107606679,41.90258799044532,228427.51020408163,56323.0,29605.0,0.533,0.409,0.044,0.004,5.6,26.5,10.9,24.9,36.6,20337.0,58.1
184,HUMBOLDT PARK,Non-STEM,Free,online,1,0.0,24.0,41.890857700000005,0.0,56323.0,29605.0,0.533,0.409,0.044,0.004,5.6,26.5,10.9,24.9,36.6,20337.0,58.1
185,HUMBOLDT PARK,Non-STEM,Not Free,face_to_face,67,876.0,41.44776119402985,41.90955449820898,13.074626865671641,56323.0,29605.0,0.533,0.409,0.044,0.004,5.6,26.5,10.9,24.9,36.6,20337.0,58.1
186,HUMBOLDT PARK,Non-STEM,Not Free,online,38,473.0,7.394736842105263,41.90038751710526,12.447368421052632,56323.0,29605.0,0.533,0.409,0.044,0.004,5.6,26.5,10.9,24.9,36.6,20337.0,58.1
187,HUMBOLDT PARK,STEM,Free,face_to_face,26,2815.0,35.88461538461539,41.90391658,108.26923076923077,56323.0,29605.0,0.533,0.409,0.044,0.004,5.6,26.5,10.9,24.9,36.6,20337.0,58.1
188,HUMBOLDT PARK,STEM,Not Free,face_to_face,1,0.0,99.0,41.91120148,0.0,56323.0,29605.0,0.533,0.409,0.044,0.004,5.6,26.5,10.9,24.9,36.6,20337.0,58.1
189,HYDE PARK,Non-STEM,Free,face_to_face,34,7080.0,62.1764705882353,41.79108776911766,208.23529411764707,25681.0,45335.0,0.063,0.304,0.467,0.124,1.5,23.3,6.4,3.9,26.3,48606.0,28.6
190,HYDE PARK,Non-STEM,Not Free,face_to_face,67,1319.0,19.134328358208954,41.79563078328361,19.686567164179106,25681.0,45335.0,0.063,0.304,0.467,0.124,1.5,23.3,6.4,3.9,26.3,48606.0,28.6
191,HYDE PARK,Non-STEM,Not Free,online,4,40.0,13.0,41.79944229,10.0,25681.0,45335.0,0.063,0.304,0.467,0.124,1.5,23.3,6.4,3.9,26.3,48606.0,28.6
192,HYDE PARK,STEM,Free,face_to_face,6,350.0,45.5,41.79669571,58.333333333333336,25681.0,45335.0,0.063,0.304,0.467,0.124,1.5,23.3,6.4,3.9,26.3,48606.0,28.6
193,HYDE PARK,STEM,Not Free,face_to_face,4,60.0,14.0,41.79069901,15.0,25681.0,45335.0,0.063,0.304,0.467,0.124,1.5,23.3,6.4,3.9,26.3,48606.0,28.6
194,IRVING PARK,Non-STEM,Free,face_to_face,268,34653.0,50.742537313432834,41.95504343925361,129.30223880597015,53359.0,54048.0,0.456,0.033,0.417,0.07,2.3,8.4,5.9,13.6,31.5,38888.0,32.9
195,IRVING PARK,Non-STEM,Free,online,3,2272.0,70.0,41.95296097,757.3333333333334,53359.0,54048.0,0.456,0.033,0.417,0.07,2.3,8.4,5.9,13.6,31.5,38888.0,32.9
196,IRVING PARK,Non-STEM,Not Free,face_to_face,6661,96743.0,65.60981834559375,41.95205573366684,14.52379522594205,53359.0,54048.0,0.456,0.033,0.417,0.07,2.3,8.4,5.9,13.6,31.5,38888.0,32.9
197,IRVING PARK,Non-STEM,Not Free,online,122,2101.0,48.90983606557377,41.95523556221313,17.221311475409838,53359.0,54048.0,0.456,0.033,0.417,0.07,2.3,8.4,5.9,13.6,31.5,38888.0,32.9
198,IRVING PARK,STEM,Free,face_to_face,29,1663.0,65.72413793103448,41.94996853724138,57.3448275862069,53359.0,54048.0,0.456,0.033,0.417,0.07,2.3,8.4,5.9,13.6,31.5,38888.0,32.9
199,IRVING PARK,STEM,Not Free,face_to_face,171,2087.0,47.16374269005848,41.956068030117,12.2046783625731,53359.0,54048.0,0.456,0.033,0.417,0.07,2.3,8.4,5.9,13.6,31.5,38888.0,32.9
200,IRVING PARK,STEM,Not Free,online,22,353.0,64.77272727272727,41.95441940045455,16.045454545454547,53359.0,54048.0,0.456,0.033,0.417,0.07,2.3,8.4,5.9,13.6,31.5,38888.0,32.9
201,JEFFERSON PARK,Non-STEM,Free,face_to_face,38,1969.0,81.65789473684211,41.96960800684213,51.81578947368421,25448.0,60592.0,0.194,0.01,0.687,0.089,2.3,7.3,4.4,7.4,35.9,35584.0,31.9
202,JEFFERSON PARK,Non-STEM,Not Free,face_to_face,259,3421.0,18.28957528957529,41.9706194085327,13.208494208494209,25448.0,60592.0,0.194,0.01,0.687,0.089,2.3,7.3,4.4,7.4,35.9,35584.0,31.9
203,JEFFERSON PARK,STEM,Free,face_to_face,2,300.0,99.0,41.97930145,150.0,25448.0,60592.0,0.194,0.01,0.687,0.089,2.3,7.3,4.4,7.4,35.9,35584.0,31.9
204,JEFFERSON PARK,STEM,Not Free,face_to_face,10,129.0,17.3,41.968686678,12.9,25448.0,60592.0,0.194,0.01,0.687,0.089,2.3,7.3,4.4,7.4,35.9,35584.0,31.9
205,KENWOOD,Non-STEM,Free,face_to_face,382,57016.0,33.46335078534032,41.807846588193954,149.2565445026178,17841.0,39371.0,0.03,0.719,0.165,0.055,1.8,22.2,9.2,5.2,37.6,48781.0,36.9
206,KENWOOD,Non-STEM,Free,online,5,1867.0,52.8,41.81431198,373.4,17841.0,39371.0,0.03,0.719,0.165,0.055,1.8,22.2,9.2,5.2,37.6,48781.0,36.9
207,KENWOOD,Non-STEM,Not Free,face_to_face,208,2477.0,27.451923076923077,41.81371434129805,11.908653846153847,17841.0,39371.0,0.03,0.719,0.165,0.055,1.8,22.2,9.2,5.2,37.6,48781.0,36.9
208,KENWOOD,Non-STEM,Not Free,online,17,255.0,20.529411764705884,41.807674405882345,15.0,17841.0,39371.0,0.03,0.719,0.165,0.055,1.8,22.2,9.2,5.2,37.6,48781.0,36.9
209,KENWOOD,STEM,Free,face_to_face,11,2148.0,77.18181818181819,41.813907969999995,195.27272727272728,17841.0,39371.0,0.03,0.719,0.165,0.055,1.8,22.2,9.2,5.2,37.6,48781.0,36.9
210,KENWOOD,STEM,Not Free,face_to_face,13,34.0,78.0,41.81430053999999,2.6153846153846154,17841.0,39371.0,0.03,0.719,0.165,0.055,1.8,22.2,9.2,5.2,37.6,48781.0,36.9
