,Geographic Cluster Name,STEM,Free,Meeting Type,Total Programs,Total Capacity,Average Max Age,Average Latitude,Average Capacity,population,income,latinos,blacks,white,asian,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score
211,LAKE VIEW,Non-STEM,Free,face_to_face,254,583897.0,29.003937007874015,41.94203165185053,2298.8070866141734,94368.0,70746.0,0.076,0.039,0.804,0.06,1.8,8.9,3.5,1.8,20.6,74366.0,13.5
212,LAKE VIEW,Non-STEM,Free,online,1,15.0,99.0,41.9454155,15.0,94368.0,70746.0,0.076,0.039,0.804,0.06,1.8,8.9,3.5,1.8,20.6,74366.0,13.5
213,LAKE VIEW,Non-STEM,Not Free,face_to_face,505,9007.0,22.88118811881188,41.948774434336705,17.835643564356435,94368.0,70746.0,0.076,0.039,0.804,0.06,1.8,8.9,3.5,1.8,20.6,74366.0,13.5
214,LAKE VIEW,Non-STEM,Not Free,online,50,737.0,27.3,41.949027711200024,14.74,94368.0,70746.0,0.076,0.039,0.804,0.06,1.8,8.9,3.5,1.8,20.6,74366.0,13.5
215,LAKE VIEW,STEM,Free,face_to_face,8,2894.0,38.25,41.94093990499999,361.75,94368.0,70746.0,0.076,0.039,0.804,0.06,1.8,8.9,3.5,1.8,20.6,74366.0,13.5
216,LAKE VIEW,STEM,Free,online,1,12.0,99.0,41.9454155,12.0,94368.0,70746.0,0.076,0.039,0.804,0.06,1.8,8.9,3.5,1.8,20.6,74366.0,13.5
217,LAKE VIEW,STEM,Not Free,face_to_face,14,112.0,92.35714285714286,41.95090021642857,8.0,94368.0,70746.0,0.076,0.039,0.804,0.06,1.8,8.9,3.5,1.8,20.6,74366.0,13.5
218,LAKE VIEW,STEM,Not Free,online,2,35.0,6.0,41.9454155,17.5,94368.0,70746.0,0.076,0.039,0.804,0.06,1.8,8.9,3.5,1.8,20.6,74366.0,13.5
219,LINCOLN PARK,Non-STEM,Free,face_to_face,228,19833.0,44.60526315789474,41.922313575350806,86.98684210526316,64116.0,82707.0,0.056,0.043,0.829,0.051,0.9,10.1,3.1,2.0,24.0,90189.0,11.4
220,LINCOLN PARK,Non-STEM,Free,online,2,4268.0,12.0,,2134.0,64116.0,82707.0,0.056,0.043,0.829,0.051,0.9,10.1,3.1,2.0,24.0,90189.0,11.4
221,LINCOLN PARK,Non-STEM,Not Free,face_to_face,406,4606.0,31.049261083743843,41.920924801354516,11.344827586206897,64116.0,82707.0,0.056,0.043,0.829,0.051,0.9,10.1,3.1,2.0,24.0,90189.0,11.4
222,LINCOLN PARK,Non-STEM,Not Free,online,85,2027.0,54.05882352941177,41.92084866682349,23.847058823529412,64116.0,82707.0,0.056,0.043,0.829,0.051,0.9,10.1,3.1,2.0,24.0,90189.0,11.4
223,LINCOLN PARK,STEM,Free,face_to_face,15,5992.0,56.93333333333333,41.92374623600001,399.46666666666664,64116.0,82707.0,0.056,0.043,0.829,0.051,0.9,10.1,3.1,2.0,24.0,90189.0,11.4
224,LINCOLN PARK,STEM,Not Free,face_to_face,28,606.0,44.75,41.921277452857126,21.642857142857142,64116.0,82707.0,0.056,0.043,0.829,0.051,0.9,10.1,3.1,2.0,24.0,90189.0,11.4
225,LINCOLN PARK,STEM,Not Free,online,4,72.0,75.75,41.91891288750001,18.0,64116.0,82707.0,0.056,0.043,0.829,0.051,0.9,10.1,3.1,2.0,24.0,90189.0,11.4
226,LINCOLN SQUARE,Non-STEM,Free,face_to_face,757,267417.0,45.61690885072655,41.96232157825569,353.2589167767503,39493.0,57749.0,0.191,0.038,0.631,0.111,2.3,8.2,5.4,6.4,26.3,49797.0,24.7
227,LINCOLN SQUARE,Non-STEM,Free,online,7,77.0,47.0,41.96621132,11.0,39493.0,57749.0,0.191,0.038,0.631,0.111,2.3,8.2,5.4,6.4,26.3,49797.0,24.7
228,LINCOLN SQUARE,Non-STEM,Not Free,face_to_face,640,11700.0,34.04375,41.96608191482774,18.28125,39493.0,57749.0,0.191,0.038,0.631,0.111,2.3,8.2,5.4,6.4,26.3,49797.0,24.7
229,LINCOLN SQUARE,Non-STEM,Not Free,online,22,485.0,47.72727272727273,41.96637222727275,22.045454545454547,39493.0,57749.0,0.191,0.038,0.631,0.111,2.3,8.2,5.4,6.4,26.3,49797.0,24.7
230,LINCOLN SQUARE,STEM,Free,face_to_face,48,2046.0,64.9375,41.96534999020833,42.625,39493.0,57749.0,0.191,0.038,0.631,0.111,2.3,8.2,5.4,6.4,26.3,49797.0,24.7
231,LINCOLN SQUARE,STEM,Free,online,1,100.0,18.0,,100.0,39493.0,57749.0,0.191,0.038,0.631,0.111,2.3,8.2,5.4,6.4,26.3,49797.0,24.7
232,LINCOLN SQUARE,STEM,Not Free,face_to_face,31,124.0,63.516129032258064,41.970834298064524,4.0,39493.0,57749.0,0.191,0.038,0.631,0.111,2.3,8.2,5.4,6.4,26.3,49797.0,24.7
233,LOGAN SQUARE,Non-STEM,Free,face_to_face,577,65416.0,49.5736568457539,41.924527814194356,113.37261698440209,72791.0,49610.0,0.512,0.054,0.392,0.025,2.2,10.3,3.4,8.4,24.3,52835.0,23.4
234,LOGAN SQUARE,Non-STEM,Free,online,2,41.0,13.0,41.93092346,20.5,72791.0,49610.0,0.512,0.054,0.392,0.025,2.2,10.3,3.4,8.4,24.3,52835.0,23.4
235,LOGAN SQUARE,Non-STEM,Not Free,face_to_face,898,14766.0,29.08685968819599,41.92847154856367,16.443207126948774,72791.0,49610.0,0.512,0.054,0.392,0.025,2.2,10.3,3.4,8.4,24.3,52835.0,23.4
236,LOGAN SQUARE,Non-STEM,Not Free,online,70,1223.0,19.571428571428573,41.929149519000035,17.47142857142857,72791.0,49610.0,0.512,0.054,0.392,0.025,2.2,10.3,3.4,8.4,24.3,52835.0,23.4
237,LOGAN SQUARE,STEM,Free,face_to_face,22,2382.0,63.72727272727273,41.924613085000004,108.27272727272727,72791.0,49610.0,0.512,0.054,0.392,0.025,2.2,10.3,3.4,8.4,24.3,52835.0,23.4
238,LOGAN SQUARE,STEM,Not Free,face_to_face,25,25.0,91.52,41.92530456239998,1.0,72791.0,49610.0,0.512,0.054,0.392,0.025,2.2,10.3,3.4,8.4,24.3,52835.0,23.4
239,LOOP,Non-STEM,Free,face_to_face,472,294907.0,58.26059322033898,41.877670063455724,624.8029661016949,29283.0,78124.0,0.069,0.115,0.627,0.159,4.0,6.7,5.8,4.0,15.9,90513.0,12.9
240,LOOP,Non-STEM,Free,online,1361,43525.0,15.011756061719325,41.87656784400001,31.98016164584864,29283.0,78124.0,0.069,0.115,0.627,0.159,4.0,6.7,5.8,4.0,15.9,90513.0,12.9
241,LOOP,Non-STEM,Not Free,face_to_face,261,3311.0,32.900383141762454,41.883975966153834,12.685823754789272,29283.0,78124.0,0.069,0.115,0.627,0.159,4.0,6.7,5.8,4.0,15.9,90513.0,12.9
242,LOOP,Non-STEM,Not Free,online,14,158.0,8.357142857142858,41.88250950285714,11.285714285714286,29283.0,78124.0,0.069,0.115,0.627,0.159,4.0,6.7,5.8,4.0,15.9,90513.0,12.9
243,LOOP,STEM,Free,face_to_face,367,11808.0,53.3133514986376,41.876627729016256,32.17438692098093,29283.0,78124.0,0.069,0.115,0.627,0.159,4.0,6.7,5.8,4.0,15.9,90513.0,12.9
244,LOOP,STEM,Free,online,75,1217.0,29.533333333333335,,16.226666666666667,29283.0,78124.0,0.069,0.115,0.627,0.159,4.0,6.7,5.8,4.0,15.9,90513.0,12.9
245,LOOP,STEM,Not Free,face_to_face,21,104.0,50.23809523809524,41.884299866666666,4.9523809523809526,29283.0,78124.0,0.069,0.115,0.627,0.159,4.0,6.7,5.8,4.0,15.9,90513.0,12.9
246,LOOP,STEM,Not Free,online,3,0.0,99.0,,0.0,29283.0,78124.0,0.069,0.115,0.627,0.159,4.0,6.7,5.8,4.0,15.9,90513.0,12.9
247,LOWER WEST SIDE,Non-STEM,Free,face_to_face,374,134604.0,35.29946524064171,41.85475542296796,359.903743315508,35769.0,34573.0,0.824,0.031,0.124,0.01,4.4,13.9,6.5,23.2,28.7,30762.0,42.5
248,LOWER WEST SIDE,Non-STEM,Free,online,7,92.0,63.42857142857143,41.85533468857143,13.142857142857142,35769.0,34573.0,0.824,0.031,0.124,0.01,4.4,13.9,6.5,23.2,28.7,30762.0,42.5
249,LOWER WEST SIDE,Non-STEM,Not Free,face_to_face,700,9732.0,30.662857142857142,41.85496548758583,13.902857142857142,35769.0,34573.0,0.824,0.031,0.124,0.01,4.4,13.9,6.5,23.2,28.7,30762.0,42.5
250,LOWER WEST SIDE,Non-STEM,Not Free,online,70,1099.0,48.44285714285714,41.85614275171432,15.7,35769.0,34573.0,0.824,0.031,0.124,0.01,4.4,13.9,6.5,23.2,28.7,30762.0,42.5
251,LOWER WEST SIDE,STEM,Free,face_to_face,34,2966.0,58.0,41.8573113638235,87.23529411764706,35769.0,34573.0,0.824,0.031,0.124,0.01,4.4,13.9,6.5,23.2,28.7,30762.0,42.5
252,LOWER WEST SIDE,STEM,Not Free,face_to_face,17,8.0,99.0,41.85605868117646,0.47058823529411764,35769.0,34573.0,0.824,0.031,0.124,0.01,4.4,13.9,6.5,23.2,28.7,30762.0,42.5
253,Little Village,Non-STEM,Free,face_to_face,450,100158542.0,32.708888888888886,41.84395938574617,222574.5377777778,79288.0,33593.0,0.826,0.131,0.039,0.001,9.2,19.8,8.8,41.1,34.0,14234.0,66.7
254,Little Village,Non-STEM,Free,online,5,39.0,51.4,41.84463882,7.8,79288.0,33593.0,0.826,0.131,0.039,0.001,9.2,19.8,8.8,41.1,34.0,14234.0,66.7
255,Little Village,Non-STEM,Not Free,face_to_face,240,3654.0,53.020833333333336,41.83905552358335,15.225,79288.0,33593.0,0.826,0.131,0.039,0.001,9.2,19.8,8.8,41.1,34.0,14234.0,66.7
256,Little Village,Non-STEM,Not Free,online,33,550.0,57.303030303030305,41.837573546666654,16.666666666666668,79288.0,33593.0,0.826,0.131,0.039,0.001,9.2,19.8,8.8,41.1,34.0,14234.0,66.7
257,Little Village,STEM,Free,face_to_face,10,615.0,68.0,41.84094009499999,61.5,79288.0,33593.0,0.826,0.131,0.039,0.001,9.2,19.8,8.8,41.1,34.0,14234.0,66.7
258,Little Village,STEM,Not Free,face_to_face,16,0.0,99.0,41.84146165875,0.0,79288.0,33593.0,0.826,0.131,0.039,0.001,9.2,19.8,8.8,41.1,34.0,14234.0,66.7
259,MCKINLEY PARK,Non-STEM,Free,face_to_face,264,86921.0,45.996212121212125,41.82256714503785,329.2462121212121,15612.0,42327.0,0.648,0.015,0.171,0.157,5.9,14.3,6.0,23.2,31.4,26934.0,46.8
260,MCKINLEY PARK,Non-STEM,Free,online,2,18.0,52.5,41.83017349,9.0,15612.0,42327.0,0.648,0.015,0.171,0.157,5.9,14.3,6.0,23.2,31.4,26934.0,46.8
261,MCKINLEY PARK,Non-STEM,Not Free,face_to_face,391,5408.0,27.9693094629156,41.817084405396265,13.831202046035806,15612.0,42327.0,0.648,0.015,0.171,0.157,5.9,14.3,6.0,23.2,31.4,26934.0,46.8
262,MCKINLEY PARK,Non-STEM,Not Free,online,1,10.0,13.0,41.82375336,10.0,15612.0,42327.0,0.648,0.015,0.171,0.157,5.9,14.3,6.0,23.2,31.4,26934.0,46.8
263,MCKINLEY PARK,STEM,Free,face_to_face,4,113.0,28.75,41.85083771,28.25,15612.0,42327.0,0.648,0.015,0.171,0.157,5.9,14.3,6.0,23.2,31.4,26934.0,46.8
264,MCKINLEY PARK,STEM,Not Free,face_to_face,11,105.0,90.27272727272727,41.82379913,9.545454545454545,15612.0,42327.0,0.648,0.015,0.171,0.157,5.9,14.3,6.0,23.2,31.4,26934.0,46.8
265,MONTCLARE,Non-STEM,Free,face_to_face,29,968.0,36.86206896551724,41.92724083206897,33.37931034482759,13426.0,47460.0,0.54,0.045,0.375,0.028,3.8,11.8,4.1,21.0,39.5,28270.0,44.8
266,MONTCLARE,Non-STEM,Not Free,face_to_face,174,1585.0,21.885057471264368,41.92424905879318,9.10919540229885,13426.0,47460.0,0.54,0.045,0.375,0.028,3.8,11.8,4.1,21.0,39.5,28270.0,44.8
267,MONTCLARE,Non-STEM,Not Free,online,14,221.0,5.214285714285714,41.92501122714284,15.785714285714286,13426.0,47460.0,0.54,0.045,0.375,0.028,3.8,11.8,4.1,21.0,39.5,28270.0,44.8
268,MONTCLARE,STEM,Not Free,face_to_face,7,10.0,86.71428571428571,41.92109953,1.4285714285714286,13426.0,47460.0,0.54,0.045,0.375,0.028,3.8,11.8,4.1,21.0,39.5,28270.0,44.8
269,MORGAN PARK,Non-STEM,Free,face_to_face,141,99113860.0,40.57446808510638,41.69212722936167,702935.1773049645,22544.0,56886.0,0.027,0.667,0.287,0.004,1.0,11.6,10.6,6.3,40.3,34946.0,37.0
270,MORGAN PARK,Non-STEM,Free,online,2,143.0,13.0,,71.5,22544.0,56886.0,0.027,0.667,0.287,0.004,1.0,11.6,10.6,6.3,40.3,34946.0,37.0
271,MORGAN PARK,Non-STEM,Not Free,face_to_face,3155,45924.0,46.016164817749605,41.68405565208953,14.55594294770206,22544.0,56886.0,0.027,0.667,0.287,0.004,1.0,11.6,10.6,6.3,40.3,34946.0,37.0
272,MORGAN PARK,STEM,Free,face_to_face,3,300.0,99.0,41.68879954333333,100.0,22544.0,56886.0,0.027,0.667,0.287,0.004,1.0,11.6,10.6,6.3,40.3,34946.0,37.0
273,MORGAN PARK,STEM,Not Free,face_to_face,9,0.0,99.0,41.68753306333334,0.0,22544.0,56886.0,0.027,0.667,0.287,0.004,1.0,11.6,10.6,6.3,40.3,34946.0,37.0
274,MOUNT GREENWOOD,Non-STEM,Free,face_to_face,368,423828.0,29.657608695652176,41.69708470994564,1151.7065217391305,19093.0,80505.0,0.072,0.052,0.86,0.007,2.1,5.8,4.4,4.7,38.3,41850.0,30.1
275,MOUNT GREENWOOD,Non-STEM,Free,online,8,188276.0,76.25,41.69100189,23534.5,19093.0,80505.0,0.072,0.052,0.86,0.007,2.1,5.8,4.4,4.7,38.3,41850.0,30.1
276,MOUNT GREENWOOD,Non-STEM,Not Free,face_to_face,391,9226.0,32.25831202046036,41.69249509549858,23.595907928388748,19093.0,80505.0,0.072,0.052,0.86,0.007,2.1,5.8,4.4,4.7,38.3,41850.0,30.1
277,MOUNT GREENWOOD,Non-STEM,Not Free,online,75,1016.0,82.33333333333333,41.69198302999998,13.546666666666667,19093.0,80505.0,0.072,0.052,0.86,0.007,2.1,5.8,4.4,4.7,38.3,41850.0,30.1
278,MOUNT GREENWOOD,STEM,Free,face_to_face,5,20.0,99.0,41.692680362,4.0,19093.0,80505.0,0.072,0.052,0.86,0.007,2.1,5.8,4.4,4.7,38.3,41850.0,30.1
279,MOUNT GREENWOOD,STEM,Not Free,face_to_face,22,162.0,36.95454545454545,41.69133810363638,7.363636363636363,19093.0,80505.0,0.072,0.052,0.86,0.007,2.1,5.8,4.4,4.7,38.3,41850.0,30.1
280,MOUNT GREENWOOD,STEM,Not Free,online,2,40.0,6.0,41.69836044,20.0,19093.0,80505.0,0.072,0.052,0.86,0.007,2.1,5.8,4.4,4.7,38.3,41850.0,30.1
281,NEAR NORTH SIDE,Non-STEM,Free,face_to_face,190,8790.0,46.689473684210526,41.899986002096774,46.26315789473684,80484.0,76290.0,0.049,0.108,0.721,0.101,2.1,10.3,2.7,1.9,22.1,104139.0,9.4
282,NEAR NORTH SIDE,Non-STEM,Free,online,43,946.0,95.11627906976744,41.89219284,22.0,80484.0,76290.0,0.049,0.108,0.721,0.101,2.1,10.3,2.7,1.9,22.1,104139.0,9.4
283,NEAR NORTH SIDE,Non-STEM,Not Free,face_to_face,802,11306.0,31.3428927680798,41.8992928236453,14.097256857855362,80484.0,76290.0,0.049,0.108,0.721,0.101,2.1,10.3,2.7,1.9,22.1,104139.0,9.4
284,NEAR NORTH SIDE,Non-STEM,Not Free,online,360,6213.0,24.025,41.89350803163862,17.258333333333333,80484.0,76290.0,0.049,0.108,0.721,0.101,2.1,10.3,2.7,1.9,22.1,104139.0,9.4
285,NEAR NORTH SIDE,STEM,Free,face_to_face,12,3841.0,34.166666666666664,41.89801511090909,320.0833333333333,80484.0,76290.0,0.049,0.108,0.721,0.101,2.1,10.3,2.7,1.9,22.1,104139.0,9.4
286,NEAR NORTH SIDE,STEM,Not Free,face_to_face,37,25.0,96.72972972972973,41.90015844675676,0.6756756756756757,80484.0,76290.0,0.049,0.108,0.721,0.101,2.1,10.3,2.7,1.9,22.1,104139.0,9.4
287,NEAR NORTH SIDE,STEM,Not Free,online,4,75.0,9.5,41.89219284,18.75,80484.0,76290.0,0.049,0.108,0.721,0.101,2.1,10.3,2.7,1.9,22.1,104139.0,9.4
288,NEAR SOUTH SIDE,Non-STEM,Free,face_to_face,146,7576.0,57.136986301369866,41.85812999945207,51.89041095890411,21390.0,75995.0,0.056,0.281,0.481,0.155,1.3,8.1,0.7,4.8,22.0,88784.0,10.2
289,NEAR SOUTH SIDE,Non-STEM,Free,online,6,95.0,72.0,41.85968907666667,15.833333333333334,21390.0,75995.0,0.056,0.281,0.481,0.155,1.3,8.1,0.7,4.8,22.0,88784.0,10.2
290,NEAR SOUTH SIDE,Non-STEM,Not Free,face_to_face,626,8583.0,44.5926517571885,41.858219270990354,13.710862619808307,21390.0,75995.0,0.056,0.281,0.481,0.155,1.3,8.1,0.7,4.8,22.0,88784.0,10.2
291,NEAR SOUTH SIDE,Non-STEM,Not Free,online,36,600.0,65.63888888888889,41.857562489166654,16.666666666666668,21390.0,75995.0,0.056,0.281,0.481,0.155,1.3,8.1,0.7,4.8,22.0,88784.0,10.2
292,NEAR SOUTH SIDE,STEM,Free,face_to_face,38,2675.0,78.97368421052632,41.862438705526294,70.39473684210526,21390.0,75995.0,0.056,0.281,0.481,0.155,1.3,8.1,0.7,4.8,22.0,88784.0,10.2
293,NEAR SOUTH SIDE,STEM,Not Free,face_to_face,45,586.0,87.35555555555555,41.8601083573333,13.022222222222222,21390.0,75995.0,0.056,0.281,0.481,0.155,1.3,8.1,0.7,4.8,22.0,88784.0,10.2
294,NEAR WEST SIDE,Non-STEM,Free,face_to_face,835,84547.0,40.105389221556884,41.87362356526963,101.25389221556887,54881.0,62770.0,0.092,0.315,0.42,0.146,4.5,16.5,6.2,6.1,21.9,59635.0,27.1
295,NEAR WEST SIDE,Non-STEM,Free,online,10,114.0,27.0,41.877301788,11.4,54881.0,62770.0,0.092,0.315,0.42,0.146,4.5,16.5,6.2,6.1,21.9,59635.0,27.1
296,NEAR WEST SIDE,Non-STEM,Not Free,face_to_face,2441,31005.0,39.62105694387546,41.865674398649716,12.701761573125768,54881.0,62770.0,0.092,0.315,0.42,0.146,4.5,16.5,6.2,6.1,21.9,59635.0,27.1
297,NEAR WEST SIDE,Non-STEM,Not Free,online,108,1513.0,45.53703703703704,41.87150075675926,14.00925925925926,54881.0,62770.0,0.092,0.315,0.42,0.146,4.5,16.5,6.2,6.1,21.9,59635.0,27.1
298,NEAR WEST SIDE,STEM,Free,face_to_face,29,978.0,31.344827586206897,41.876080612413794,33.724137931034484,54881.0,62770.0,0.092,0.315,0.42,0.146,4.5,16.5,6.2,6.1,21.9,59635.0,27.1
299,NEAR WEST SIDE,STEM,Not Free,face_to_face,28,420.0,90.42857142857143,41.868253845000005,15.0,54881.0,62770.0,0.092,0.315,0.42,0.146,4.5,16.5,6.2,6.1,21.9,59635.0,27.1
300,NEAR WEST SIDE,STEM,Not Free,online,1,10.0,13.0,41.88461304,10.0,54881.0,62770.0,0.092,0.315,0.42,0.146,4.5,16.5,6.2,6.1,21.9,59635.0,27.1
301,NORTH CENTER,Non-STEM,Free,face_to_face,67,2614.0,39.97014925373134,41.937773465671626,39.014925373134325,31867.0,81524.0,0.136,0.023,0.773,0.045,0.9,5.5,3.2,3.4,34.3,77951.0,18.1
302,NORTH CENTER,Non-STEM,Not Free,face_to_face,230,6377.0,32.030434782608694,41.93745243582639,27.72608695652174,31867.0,81524.0,0.136,0.023,0.773,0.045,0.9,5.5,3.2,3.4,34.3,77951.0,18.1
303,NORTH CENTER,Non-STEM,Not Free,online,5,85.0,13.2,41.942129518,17.0,31867.0,81524.0,0.136,0.023,0.773,0.045,0.9,5.5,3.2,3.4,34.3,77951.0,18.1
304,NORTH CENTER,STEM,Free,face_to_face,2,20.0,20.5,41.93600845,10.0,31867.0,81524.0,0.136,0.023,0.773,0.045,0.9,5.5,3.2,3.4,34.3,77951.0,18.1
305,NORTH CENTER,STEM,Not Free,face_to_face,5,22.0,61.8,41.93730164,4.4,31867.0,81524.0,0.136,0.023,0.773,0.045,0.9,5.5,3.2,3.4,34.3,77951.0,18.1
306,NORTH LAWNDALE,Non-STEM,Free,face_to_face,594,76373.0,33.24074074074074,41.8639026226809,128.57407407407408,35912.0,25797.0,0.06,0.914,0.014,0.002,3.7,33.2,17.2,20.4,37.5,17708.0,60.3
307,NORTH LAWNDALE,Non-STEM,Free,online,5,3669.0,84.0,41.865118025,733.8,35912.0,25797.0,0.06,0.914,0.014,0.002,3.7,33.2,17.2,20.4,37.5,17708.0,60.3
308,NORTH LAWNDALE,Non-STEM,Not Free,face_to_face,363,4103.0,48.16804407713499,41.86639155377399,11.303030303030303,35912.0,25797.0,0.06,0.914,0.014,0.002,3.7,33.2,17.2,20.4,37.5,17708.0,60.3
309,NORTH LAWNDALE,Non-STEM,Not Free,online,51,746.0,57.6078431372549,41.866668700588235,14.627450980392156,35912.0,25797.0,0.06,0.914,0.014,0.002,3.7,33.2,17.2,20.4,37.5,17708.0,60.3
310,NORTH LAWNDALE,STEM,Free,face_to_face,17,801.0,56.11764705882353,41.86119349058823,47.11764705882353,35912.0,25797.0,0.06,0.914,0.014,0.002,3.7,33.2,17.2,20.4,37.5,17708.0,60.3
311,NORTH LAWNDALE,STEM,Not Free,face_to_face,28,0.0,99.0,41.86425045785716,0.0,35912.0,25797.0,0.06,0.914,0.014,0.002,3.7,33.2,17.2,20.4,37.5,17708.0,60.3
312,NORTH PARK,Non-STEM,Free,face_to_face,257,106600.0,32.505836575875485,41.97518585645888,414.7859922178988,17931.0,53305.0,0.18,0.032,0.493,0.257,5.1,14.9,5.1,13.0,39.5,32507.0,44.1
313,NORTH PARK,Non-STEM,Free,online,4,2285.0,29.5,,571.25,17931.0,53305.0,0.18,0.032,0.493,0.257,5.1,14.9,5.1,13.0,39.5,32507.0,44.1
314,NORTH PARK,Non-STEM,Not Free,face_to_face,803,9868.0,14.627646326276464,41.98354086075997,12.288916562889165,17931.0,53305.0,0.18,0.032,0.493,0.257,5.1,14.9,5.1,13.0,39.5,32507.0,44.1
315,NORTH PARK,Non-STEM,Not Free,online,21,750.0,6.285714285714286,41.98391541571429,35.714285714285715,17931.0,53305.0,0.18,0.032,0.493,0.257,5.1,14.9,5.1,13.0,39.5,32507.0,44.1
316,NORTH PARK,STEM,Free,face_to_face,40,5913.0,80.175,41.97784462199998,147.825,17931.0,53305.0,0.18,0.032,0.493,0.257,5.1,14.9,5.1,13.0,39.5,32507.0,44.1
317,NORTH PARK,STEM,Not Free,face_to_face,20,183.0,16.55,41.98230552750001,9.15,17931.0,53305.0,0.18,0.032,0.493,0.257,5.1,14.9,5.1,13.0,39.5,32507.0,44.1
318,NORTH PARK,STEM,Not Free,online,1,20.0,6.0,41.98583221,20.0,17931.0,53305.0,0.18,0.032,0.493,0.257,5.1,14.9,5.1,13.0,39.5,32507.0,44.1
319,NORWOOD PARK,Non-STEM,Free,face_to_face,434,202549.0,64.32488479262673,41.98078642271902,466.7027649769585,37023.0,64477.0,0.12,0.004,0.815,0.046,1.2,8.2,4.3,7.3,41.0,45474.0,31.3
320,NORWOOD PARK,Non-STEM,Free,online,1,18.0,99.0,,18.0,37023.0,64477.0,0.12,0.004,0.815,0.046,1.2,8.2,4.3,7.3,41.0,45474.0,31.3
